year_month,amount
2008-12,857155019.021124
2009-01,857184869.388494
2009-02,856204698.735473
2009-03,856070751.192477
2009-04,869744611.4606651
2009-05,869747540.358606
2009-06,869943778.8127021
2009-07,870555706.503916
2009-08,870804109.4030031
2009-09,870919465.957829
2009-10,871652183.66079
2009-11,878428423.284692
2009-12,879879092.527498
2010-01,879981518.5028969
2010-02,880224581.142552
2010-03,881199161.6242181
2010-04,881261309.14749
2010-05,881949625.3093129
2010-06,882130442.170456
2010-07,883506954.949243
2010-08,883485944.953248
2010-09,884413830.384178
2010-10,884578028.386146
2010-11,884986072.745532
2010-12,885212161.691712
2011-01,885510022.419562
2011-02,885716264.0591841
2011-03,889149641.123117
2011-04,889850822.175665
2011-05,890184185.311986
2011-06,891278186.565225
2011-07,891558302.7667071
2011-08,891747099.315239
2011-09,893539011.5615691
2011-10,894476303.408743
2011-11,896395287.1651009
2011-12,897473313.693705
2012-01,897895347.48307
2012-02,897906373.199878
2012-03,900601970.365077
2012-04,901786614.726357
2012-05,902687131.140831
2012-06,902922996.646557
2012-07,905770969.510672
2012-08,906702388.968013
2012-09,906833179.6278241
2012-10,908177986.3790619
2012-11,909535231.121732
2012-12,911628630.0101479
2013-01,916716527.045224
2013-02,918232438.4130421
2013-03,919815675.246615
2013-04,921376051.886213
2013-05,922620092.635113
2013-06,923000027.3746029
2013-07,923932027.805578
2013-08,924950935.980726
2013-09,925629960.1730479
2013-10,925686775.355609
2013-11,926436587.355019
2013-12,928357480.165154
2014-01,927882616.4655191
2014-02,928457233.3679609
2014-03,928752551.054685
2014-04,930898766.638658
2014-05,931215614.4461861
2014-06,932346401.37089
2014-07,932467557.7024621
2014-08,933620216.067679
2014-09,936167799.091207
2014-10,936686066.594824
2014-11,937976506.60639
2014-12,938488067.794984
2015-01,938101291.0523521
2015-02,938284169.691786
2015-03,938257226.5320951
2015-04,937832629.231169
2015-05,938257172.488054
2015-06,958604754.785345
2015-07,960892318.24156
2015-08,962387812.596954
2015-09,963715103.214578
2015-10,964282914.019629
2015-11,966817403.885603
2015-12,967690064.462843
2016-01,968733957.651855
2016-02,967176498.5441129
2016-03,967813536.813853
2016-04,967721374.759357
2016-05,967298812.582453
2016-06,969043480.84455
2016-07,969019579.127346
2016-08,969575148.331277
2016-09,970352963.687925
2016-10,971296446.349289
2016-11,971395275.72541
2016-12,970947111.439364
2017-01,973274405.39081
2017-02,973158838.950953
2017-03,974467570.541764
2017-04,975302116.767094
2017-05,976389169.224591
2017-06,977520289.200361
2017-07,978714314.1629189
2017-08,978818887.551128
2017-09,980384962.505444
2017-10,982670986.168528
2017-11,984394240.03022
2017-12,984924623.3885571
2018-01,985646556.269024
2018-02,986661689.5465839
2018-03,987218977.465388
2018-04,988631349.497564
2018-05,989257898.975294
2018-06,989694377.4085641
2018-07,991329654.622585
2018-08,990300554.623721
2018-09,992281156.262805
2018-10,995727192.518986
2018-11,998258231.357549
2018-12,997940640.186784
2019-01,1000132138.7373301
2019-02,1000778446.2050899
2019-03,1002189274.27662
2019-04,1003970159.00507
2019-05,1005351774.16574
2019-06,1009342516.31585
2019-07,1009889903.92732
2019-08,1010704794.68176
2019-09,1012213410.60801
2019-10,1013884257.66939
2019-11,1015018266.29732
2019-12,1014488275.64581
2020-01,1014938078.11878
2020-02,1016555228.41476
2020-03,1017427521.82163
2020-04,1018749087.9481001
2020-05,1019559036.80348
2020-06,1020376246.0054699
2020-07,1020150741.7979
2020-08,1019394921.62984
2020-09,1020687137.33745
2020-10,1021358861.49876
2020-11,1021547032.0096201
2020-12,1023232664.14039
2021-01,1022411161.86425
2021-02,1022421709.04106
2021-03,1028541074.6438699
2021-04,1030624498.22637
2021-05,1033093149.7091899
2021-06,1034045121.16947
2021-07,1034880672.3201602
2021-08,1035439125.96409
2021-09,1036369973.05586
2021-10,1036672611.75019
2021-11,1035698276.74732
2021-12,1034850870.8603199
2022-01,1034755458.05779
2022-02,1035281813.45646
2022-03,1035059242.45391
2022-04,1036198511.4598202
2022-05,1037543844.8673999
2022-06,1039713100.52747
2022-07,1041024792.89535
2022-08,1041697639.02934
2022-09,1043716623.7943699
2022-10,1044294420.31237
2022-11,1046119203.24494
2022-12,1047037177.4523101
2023-01,1049502743.9722701
2023-02,1051354417.6677101
2023-03,1051328601.14449
2023-04,1048669369.36858
2023-05,1047227380.14517
2023-06,1050172381.4910799
2023-07,1050940516.90378
2023-08,1053364407.8689799
2023-09,1055679713.4875201
2023-10,1056942192.0990901
2023-11,1058177120.05928
2023-12,1058086444.29123
2024-01,1059166325.5421599
2024-02,1059632650.5861
2024-03,1059190563.5062501
