date,open,high,low,close
2019-03-27,3982.614678572,4070.654525251,3979.2189216,4069.689197198
2019-03-28,4062.825098198,4082.483911422,4034.840680807,4061.003062397
2019-03-29,4061.601587452,4143.060868805,4049.326845159,4128.954215703
2019-03-30,4130.010064024,4185.986950413,4111.496747944,4164.621319669
2019-03-31,4166.325800301,4210.95413776,4154.548282798,4202.588398158
2019-04-01,4199.617439676,4229.129950658,4184.983265552,4202.125149714
2019-04-02,4200.878648602,4915.319703997,4199.353304694,4888.060144806
2019-04-03,4887.759498103,5277.183264217,4887.759498103,4981.380898514
2019-04-04,4971.060890177,5055.964735281,4847.159233067,4924.082434374
2019-04-05,4926.403080942,5043.52030711,4922.061605746,5029.810426006
2019-04-06,5030.633756343,5209.789827716,4986.648572557,5066.740036243
2019-04-07,5066.362965449,5244.16584738,5066.362965449,5212.309923024
2019-04-08,5213.650120988,5330.055098135,5129.111525202,5303.985428527
2019-04-09,5300.612111963,5300.612111963,5190.414107865,5235.702335987
2019-04-10,5230.089593758,5438.076806385,5222.799900984,5334.16546243
2019-04-11,5339.75455452,5360.792182502,5033.265192079,5055.483612262
2019-04-12,5051.496177143,5139.184727198,4980.706446639,5090.02691307
2019-04-13,5089.804112289,5168.632419133,5081.413415427,5132.674495269
2019-04-14,5130.872758133,5198.607002691,5089.297332302,5187.562407627
2019-04-15,5190.134974733,5232.13107218,5068.359413253,5114.800175994
2019-04-16,5110.364742945,5285.26935529,5083.122626088,5280.621477906
2019-04-17,5274.409619076,5309.767053458,5247.411896122,5271.109695488
2019-04-18,5271.35217627,5330.747549732,5268.381876188,5309.256996284
2019-04-19,5308.334719082,5349.185233082,5253.519638981,5317.962149987
2019-04-20,5318.985321339,5372.559483415,5314.995062328,5363.756655489
2019-04-21,5365.439861043,5381.725474671,5296.630795402,5349.866310892
2019-04-22,5347.870261836,5438.056151572,5319.583955251,5417.509437289
2019-04-23,5421.273442212,5636.994562371,5410.56240827,5591.93356269
2019-04-24,5585.462131718,5660.855010888,5456.808248396,5484.270138274
2019-04-25,5489.65821347,5535.815358986,5241.366292456,5241.366292456
2019-04-26,5247.231157924,5339.668146595,5154.398777214,5264.272697961
2019-04-27,5272.04828427,5306.450167668,5233.559329194,5274.514196298
2019-04-28,5277.479653583,5322.308489442,5241.079210927,5293.938255503
2019-04-29,5296.546936304,5332.087293682,5216.487915655,5258.677411088
2019-04-30,5258.596117573,5366.907619899,5153.65201441,5305.984482131
2019-05-01,5306.244504059,5400.462952961,5298.148059404,5388.818932923
2019-05-02,5390.886922075,5516.518746332,5223.551018942,5485.782605123
2019-05-03,5483.869227356,5831.565100435,5475.473832288,5734.732073665
2019-05-04,5731.170082516,5855.322770957,5625.471505591,5820.358392055
2019-05-05,5819.009881457,5822.576221488,5714.366264154,5779.333068834
